Name,Wiki Name,Party,Wiki search,Wiki Output
Vijaya Kumari Ganti ,Vijaya Kumari Ganti,Telugu Desam Party,Vijaya Kumari Ganti Telugu Desam Party,"Vijaya Kumari Ganti is a former member of the 13th Lok Sabha from Amalapuram, Andhra Pradesh. She is the widow of Lok Sabha speaker G.M.C. Balayogi and won the by-election (2002) conducted after his death."
Vijaya Raje ,Vijaya Raje,Independents,Vijaya Raje Independents,#N/A
Vijayakumar (Alias) Vijay Vasanth  Shri,Vijayakumar (Alias) Vijay Vasanth,Indian National Congress,Vijayakumar (Alias) Vijay Vasanth Indian National Congress,#N/A
Vijayakumari  Dumpa Mary,Dumpa Mary Vijayakumari,Telugu Desam Party,Dumpa Mary Vijayakumari Telugu Desam Party,Dumpa Mary Vijayakumari (born 9 July 1952) is an Indian politician and a Member of Parliament elected from the Bhadrachalam-ST constituency in the Indian state of Andhra Pradesh being a Telugu Desam Party candidate.
Vijayan  Shri A.K.S.,A.K.S. Vijayan,Dravida Munnetra Kazhagam,A.K.S. Vijayan Dravida Munnetra Kazhagam,"A.K.S. Vijayan (born 15 December 1961) is an Indian Politician and a former Member of Parliament of India. He was elected from the Nagapattinam constituency of Tamil Nadu as a member of the Dravida Munnetra Kazhagam (DMK) political party in 1999,2004 and 2009.He is selected for 13th, 14th And 15th Lok Sabha also and has led the DMK MPs in Lok sabha. He got appointed as Tamil Nadu Government Special Representative to Delhi"
Vijayaraghavan  Shri V.S.,V.S. Vijayaraghavan,Congress (I),V.S. Vijayaraghavan Congress (I),"Palakkad District has four types of administrative hierarchies: 

Taluk and Village administration managed by the provincial government of Kerala
Panchayath Administration managed by the local bodies
Parliament Constituencies for the federal government of India
Assembly Constituencies for the provincial government of KeralaThe Palakkad district is a political subdivision within the Indian state of Kerala. This district is divided into six taluks and seven municipalities. Palakkad city is located just 50 km away from Coimbatore, which is the second-largest city in Tamil Nadu, only after to Chennai."
Vijayashankar  Shri C.H.,C.H. Vijayashankar,Bharatiya Janata Party,C.H. Vijayashankar Bharatiya Janata Party,"Chandrashekhar H. Vijayashankar (born 21 October 1956) was a member of the 14th Lok Sabha of India. He represented the Mysore constituency of Karnataka and is a member of the Bharatiya Janata Party political party. He was elected member of Karnataka legislative assembly from Hunsur in 1994. In 1998, he was elected to the 12th Lok Sabha from Mysore Lok Sabha constituency.
He was re-elected to Mysore Lok Sabha constituency in 2004 against Srikantadatta Narasimharaja Wadiyar, who was the prince of Mysore Kingdom and head of the Wadiyar dynasty that ruled the Kingdom of Mysore between 1399 and 1950.
He served as a Cabinet Minister in the Government of Karnataka holding the following portfolios: Forest Department from Forest, Ecology & Environment Department as well as small Scale Industries from C & I Department.He unsuccessfully contested the 2014 Lok Sabha elections from Hassan constituency in 2014 as a Bharatiya Janata Party candidate against Former Prime Minister H. D. Deve Gowda.
He was the Member of the Legislative Council of Karnataka from 15 June 2010 till the end of his tenure in Jan 2016.
He resigned from Bharatiya Janata Party and joined Indian National Congress in October 2017. He rejoined Bharatiya Janta Party in November 2019."
Vikal  Shri Ram Chandra,Ram Chandra Vikal,Congress,Ram Chandra Vikal Congress,"Ram Chandra Vikal (8 November 1916 in Nayagaon Basantpur, Gautam Buddha Nagar district – 26 June 2011) was a freedom fighter. He was an agriculture minister and was elected twice as a Member of Parliament as well as a five-time Member of the Legislative Assembly He had charge of Jammu and Kashmir during the governments of Indira Gandhi and Rajiv Gandhi. He was also a well known yoga teacher.
Vikal was influenced by the ideology of the Arya Samaj from childhood and participated in the freedom movement from his student days. An agriculturist, Vikal championed the cause of the farmers, labourers and backward classes, and was instrumental in implementing various social welfare measures such as getting irrigation rates reduced and land revenue written off.
He also contributed to the setting up of various infrastructure facilities in the towns and villages of Uttar Pradesh by having bridges and railway lines constructed. He was also instrumental in getting several primary schools and colleges set up, establishing agricultural universities in Faizabad and Kanpur and a medical college in Meerut. Vikal was awarded the Degree of Vidyavachaspati, Honoris Causa, by the Gurukul Mahavidyalaya, Jwalapur (Haridwar).
Ram Chandra Vikal started his legislative career as a Member of the Uttar Pradesh Legislative Assembly in 1952 and was Member of that Assembly from 1952 to 1971. He held various ministerial posts — Forests and Animal Husbandry, Excise, Agriculture, Irrigation, Jail and Fisheries – in the government of Uttar Pradesh from 1967 to 1970. He was also Leader of the Opposition in the Uttar Pradesh Legislative Assembly in 1967 and Chairman of State Farms Corporation of India from 1982 to 1984 .
Vikal was a Member of the Fifth Lok Sabha from Bagpat and represented Uttar Pradesh in the Rajya Sabha from April 1984 to April 1990.
Shri Ram Chandra Vikal had actively participated in the freedom struggle from his student life and fought against British rule during pre-Independence period. He gave up studies on the call of Mahatama Gandhi, boycotted foreign-made clothes and actively worked for the Congress Party. Shri Vikal gave up the teaching profession after assassination of Mahatama Gandhi. He worked for World Peace and in this respect, attended World Peace Conference held in Japan, 1970. He had maintained healthy and sound relations with Fuji Guruji of Japan. He also participated in various activities relating to social change during post-Independence period as well. Shri Vikal was weighed by farmers with silver (2 maunds and 17 seers) on 26 January 1963 which was donated to Pt. Jawaharlal Nehru for National Defence. He was instrumental in opening 100 primary schools, several Intermediate and Degree colleges in his constituency, Agricultural Universities in Faizabad and Kanpur and Medical college at Meerut. He played main role in setting up a Fertilizer Factory at Phulpur, Allahabad. It was due to his efforts that Shahadara-Sharanpur meter-gauge line was converted into broad-gauge line. 
Shri Vikal was Member of Legislative Assembly, Uttar Pradesh from 1952 to 1971 and the Member of Parliament of Fifth Lok Sabha. He was elected to the Rajya Sabha from April, 1984 to 1990. During the leaderships of Smt. Indira Gandhi, Shri Rajiv Gandhi and Shri P.V. Narsingh Rao, he was the member of Working Committee of AICC from 1977 to 1991.
Shri Vikal was the Founder and President of Kisan Mazdoor Party, 1967 and President of All India Backward Classes Cell of Congress since 1967. He was Vice-President of Congress Committee of Uttar Pradesh in 1972. He was the Chairman of Assurance Committee, U.P. Legislative Assembly in 1970–71. He was also the Chairman of State Farm Corporation of India from March, 1982 to 1984.
Shri Vikal was the Member of Zila Parishad, Bullandshahar in 1948. He was also the Member of AICC from 1958 to 1971. He had been the Member of Estimates Committee of U.P. Assembly for two years. He was the Member of Standing Committee of Irrigation and Power and Finance. He was at the Panel of Chairmen, U.P. Legislative Assembly from 1969 to 1970. He was Member of Business Advisory Committee, Rajya Sabha from 1984 to 1985. He was elected Leader of S.V.D. and Leader of Opposition, U.P. Legislative Assembly, 1967. He held the office of Minister of Forests and Animal Husbandry, Excise, Jail and Fisheries, Agriculture, Irrigation. He was the Chairman of all India Kisan Congress."
Vikhepatil  Dr. Sujay Radhakrishna,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janata Party,Dr. Sujay Radhakrishna Vikhepatil Bharatiya Janata Party,#N/A
Vikram  Shri Surendra,Surendra Vikram,Janata Party,Surendra Vikram Janata Party,"Vikram (often credited Chiyaan Vikram) is an Indian actor, producer, playback singer and former dubbing artiste known for his work in Tamil cinema. He has featured in over 55 motion pictures, three television programs, and several music videos and commercials. An aspiring actor since childhood, Vikram modelled for television commercials and appeared in a short film, hoping to get noticed by casting directors. He made his television debut with the Doordarshan series Galatta Kudumbam (1988), following which his first feature film role came with the experimental film En Kadhal Kanmani (1990). His early career in Tamil cinema saw consecutive box-office failures, after which he attempted a transition to Telugu and Malayalam cinema. Vikram mostly played the lead roles in Telugu films, many of which were financial failures. In Malayalam films, he usually appeared in ensemble films, playing ""second fiddle"" to established actors like Mammootty and Suresh Gopi, which failed to help his career. Meanwhile, the few sporadic appearances he made in Tamil cinema also proved unsuccessful.Vikram landed his breakthrough role of a college student who suffers a brain injury in filmmaker Bala's directorial debut, the tragedy film Sethu (1999). It was a sleeper hit and earned Vikram a Special Jury award at the Filmfare and Tamil Nadu State Film Award ceremonies. In 2001, he played an aspiring policeman in the action film Dhill, the directorial debut of Dharani. In 2002, Vikram was awarded his first Filmfare Award for Best Actor for portraying a blind village singer in the Vinayan-directed tragedy Kasi (2001), a remake of the director's Malayalam film Vasanthiyum Lakshmiyum Pinne Njaanum (1999). Vikram went on to play the quintessential Tamil action hero in a series of commercial successful masala films beginning with Gemini (2002) which grossed ₹210 million at the box office. Gemini film was the highest grossing Tamil film of the year 2002. The next year, with consecutive commercial success in Dhool (2003) and Saamy (2003), he attained stardom. He then played an undertaker with autism in Bala's tragedy drama Pithamagan (2003) co-starring Suriya. His portrayal attracted positive reviews and garnered him his third Filmfare award, and Best Actor trophies at the Tamil Nadu State Film Award and National Film Award ceremonies.Vikram underwent a professional setback between 2004 and 2008 when a series of films—Arul (2004), Majaa (2005) and Bheemaa (2008)—received mixed reviews and were commercial failures. Vikram's sole box-office success during this period was S. Shankar's psychological thriller Anniyan (2005), in which he played a utopian lawyer suffering from multiple personality disorder. The film was the second highest grossing Tamil film of the year 2005 by collecting ₹57 crore from the box office. The film was commercial success in all the South Indian states- Tamil Nadu, Kerala (where the film was the highest grossing Tamil film in Kerala  at that time which ran over 150 days in theatres), Andhra Pradesh (where the dubbed version Aparichitudu was highest-grossing film of 2005) and Karnataka. The film also earned him critical acclaim and his fourth Filmfare award. Meanwhile, Vikram ventured into film production by joining a production company, Reel Life Entertainment, as one of its directors. In Susi Ganesan's Kanthaswamy (2009), he played a CBI officer who moonlights as a costumed vigilante. In 2010, Vikram was introduced in Bollywood by Mani Ratnam through his Hindi-Tamil bilingual Raavan and Raavanan, a contemporary retelling of the Ramayana, in which Vikram played the antagonist and protagonist in the respective versions. Vikram earned mixed reviews for his characterisation in the former; but his performance in the latter earned him rave reviews and his fifth Filmfare award. In 2011, Vikram played a man with developmental disability fighting over his daughter's custody in A. L. Vijay's courtroom drama Deiva Thirumagal, an adaptation of the American film I Am Sam (2001). Vikram's performance was praised and won him the Critics Award for Best Actor at Filmfare. However, his next role of an aspiring screen villain in Rajapattai (2011) was poorly received.In 2012, Vikram appeared in A. L. Vijay's revenge-thriller Thaandavam, playing a blind RAW agent who uses human echolocation to track down his betrayer. In Bejoy Nambiar's three-story-arc anthology film David (2013), he played one of the three eponymous lead characters, an alcoholic fisherman in love with his friend's fiancée; the film and its Tamil version won him praise. Shankar's romantic-thriller I (2015) featured Vikram as a supermodel-turned-hunchback who exacts revenge on his conspirators. The film grossed over ₹ 2.4 billion at the box office and Vikram's performance was critically acclaimed. Then he acted in 10 Endrathukulla (2015), Iru Mugan (2016), Sketch (2018), Saamy Square (2018), Kadaram Kondan (2019) and Mahaan (2022)"
